"統一編號","公司名稱","公司地址","實收資本額","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"42590794","晉億嘉有限公司","南投縣草屯鎮碧洲里立人路727巷10號1樓","null","1040819","南投縣草屯鎮碧洲里立人路７２７巷１０號１樓","254999,,,","02-AUG-20","","","","",""
"42590915","裕佳昇股份有限公司","雲林縣斗六市斗工十六路15號","259350000","1040819","雲林縣斗六市榴南里斗工十六路１５號","184199,220111,220212,220300","02-AUG-20","","","","",""
"42591082","信奇企業有限公司","彰化縣彰化市延和里埔內街26巷20號","null","1040819","彰化縣彰化市延和里００４鄰埔內街２６巷２０號","251199,259999,,","02-AUG-20","","","","",""
"42591323","鴻威精密有限公司","苗栗縣竹南鎮山佳里30鄰佳北二街50巷11弄6號1樓","0","1040820","苗栗縣竹南鎮山佳里０３０鄰佳北二街５０巷１１弄６號１樓","292999,,,","02-AUG-20","","","","",""
"42591371","昱修科技有限公司","苗栗縣竹南鎮營盤里22鄰南榮街72號1樓","0","1040820","苗栗縣竹南鎮營盤里２２鄰南榮街７２號１樓","292999,,,","02-AUG-20","","","","",""
"42591479","上楓有限公司","彰化縣彰化市延平里岸頭巷臨13-8號","null","1040820","彰化縣彰化市延平里岸頭巷臨１３－８號","220911,,,","02-AUG-20","","","","",""
"42591610","寶仕潔實業有限公司","彰化縣和美鎮月眉里北辰路151號1樓","null","1040820","彰化縣和美鎮月眉里北辰路１５１號１樓","462099,,,","02-AUG-20","","","","",""
"42591647","巧鑽精密有限公司","苗栗縣頭份市後庄里2鄰光華北路138號1樓","0","1040820","苗栗縣頭份市後庄里００２鄰光華北路１３８號１樓","291299,464999,340099,","02-AUG-20","","","","",""
"42591718","谷若思科技有限公司","雲林縣虎尾鎮立仁里忠孝路116號1樓","0","1040821","雲林縣虎尾鎮立仁里忠孝路１１６號１樓","464999,433199,340099,433118","02-AUG-20","","","","",""
"42591750","鑫達興有限公司","雲林縣二崙鄉大義村大義路37-1號","0","1040821","雲林縣二崙鄉大義村大義路３７─１號","291900,,,","02-AUG-20","","","","",""
