"統一編號","公司名稱","公司地址","實收資本額","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"75062702","天山鐵工工程股份有限公司","高雄市小港區玉豐街4號","20000000","0550830","高雄市小港區港口里玉豐街４號","433212,,,","02-AUG-20","","","","",""
"75077607","日東實業有限公司","高雄市前鎮區漁港南三路9號","null","0560703","高雄市前鎮區明孝里漁港南三路９號","681112,,,","02-AUG-20","","","","",""
"75077705","日和鋼鐵企業股份有限公司","高雄市小港區同利路12號","11000000","0570217","高雄市小港區港口里同利路１２號","241211,292600,,","02-AUG-20","","","","",""
"75107279","永川工業股份有限公司","高雄市前鎮區新都路20號","10000000","0580821","高雄市前鎮區仁愛里新都路２０號","292999,462099,462017,462099","02-AUG-20","","","","YC,","2019-11-22"
"75127901","永昌精機工業股份有限公司","高雄市三民區更新街20號","28000000","0561116","高雄市三民區更新街２０號","312200,771999,681112,259999","02-AUG-20","","","","CY,YC,永昌,","2019-11-22"
"75146702","永隆機電工程股份有限公司","高雄市大寮區大寮里華西路30號","144000000","0570531","高雄市大寮區大寮里華西路３０號","433212,,,","02-AUG-20","","","","",""
"75157502","加新塑膠廠股份有限公司","高雄市三民區通化街120號","10000000","0530707","高雄市三民區通化街１２０號","220111,462012,,","02-AUG-20","","","","",""
"75162300","伍大企業股份有限公司","高雄市新興區八德一路326號12樓之2","2000000","0530609","高雄市新興區建華里八德一路３２６號１２樓之２","463115,463113,,","02-AUG-20","","","","",""
"75164073","翔銓交通有限公司","高雄市路竹區環球路468號1樓","0","0581229","高雄市路竹區甲南里０２１鄰環球路４６８號１樓","494099,484317,951199,","02-AUG-20","","","","",""
"75166473","同榮銅鐵企業股份有限公司","高雄市鼓山區濱海一路17之1號1樓","9000000","0600519","高雄市鼓山區維生里濱海一路１７－１號１樓","681112,,,","02-AUG-20","","","","",""
"75166740","百順工業有限公司","高雄市三民區熱河二街306號","0","0670915","高雄市三民區十全里熱河二街３０６號","254411,465314,458211,463111","02-AUG-20","","","","",""
"75169606","旭光液化煤氣股份有限公司","高雄市仁武區鳳仁路334號","85000000","0560222","高雄市仁武區後安里鳳仁路３３４號","482912,,,","02-AUG-20","","","","",""
"75183706","吉信企業有限公司","高雄市前金區七賢二路264號","0","0560714","高雄市前金區新生里七賢二路２６４號","454999,454700,457299,454913","02-AUG-20","","","","自由葉,吉信,LEAFFREE,CHIHSIN,","2019-11-22"
"75195702","光華儀器有限公司","高雄市三民區建國二路108之1號1樓","0","0560722","高雄市三民區博愛里建國二路１０８─１號","474924,474924,434011,","02-AUG-20","","","","光華,ZAMES,","2019-11-22"
"75252962","明宗行貿易有限公司","高雄市前金區中正四路211號10樓之2","null","0601119","高雄市前金區林投里中正四路２１１號１０樓之２","464914,,,","02-AUG-20","","","","",""
"75307517","東華實業股份有限公司","高雄市左營區菜公一路86號1至2樓","18000000","0570730","高雄市左營區菜公里菜公一路８６號１至２樓","464921,281099,760999,340099","02-AUG-20","","","","",""
"75346624","南光堂印刷所有限公司","高雄市前金區中正四路１４２號","null","0571228","高雄市前金區長興里中正四路１４２號","160100,451099,581311,","02-AUG-20","","","","",""
"75362010","信利木器股份有限公司","高雄市三民區自立一路303號","10000000","0560705","高雄市三民區自立一路３０３號","681112,,,","02-AUG-20","","","","",""
"75370709","美育彩色印刷廠股份有限公司","高雄市三民區中華二路170號","36500000","0531031","高雄市三民區十全里中華二路１７０號","160100,,,","02-AUG-20","","","","",""
"75371405","柏林股份有限公司","高雄市小港區大業南路43號","130000000","0510811","高雄市小港區鳳森里大業南路４３號","192011,434012,422012,433900","02-AUG-20","","","","海保龍,柏林,柏利可塗,BONN FLONCOAT,BERLIN,Z,安保龍,RUST-LOCK,BERLIN P,WELLZINC,旺氟龍可塗,EMERCOTE-IMP,柏特耐,POLYCRECOAT,IMP,BERLIN,P,HIGHPALON,柏林錏膜可塗,奇奇奇,BP,ANPALON,RUST OFF,BERLIN, P,拉銹得固,","2019-11-22"
"75415298","高福化學工業股份有限公司","高雄市仁武區鳳仁路385號","483800000","0570530","高雄市仁武區竹後里鳳仁路３８５號","181015,184199,181099,462099","02-AUG-20","","","","KAOFULEX,高福,KF,","2019-11-22"
"75415733","高鋒貿易股份有限公司","高雄市前金區自強2路35之1號2樓","3800000","0580428","高雄市前金區社東里自強二路３５之１號２樓","461515,461999,454399,","02-AUG-20","","","","",""
"75422501","振吉電化廠股份有限公司","高雄市前鎮區中華五路1426號","180000000","0421124","高雄市前鎮區振興里中華五路１４２６號","273099,285999,220112,321999","02-AUG-20","","","","亞力山大,ALEXANDER,凡爾賽宮,彩龍,強強滾,W DK,N,雷姆,御鈦,安王,W,伯爵,溫泉鄉,VENUS,電光牌,電工,公爵,微笑,全王,潔屁,TENCO,CECO,御釉,雷光牌,亞歷山大,家祥,振吉,維納斯,鈦生活,DUKE,電功,石斛蘭,TENCO, N,溫泉,電光,EARL,","2019-11-22"
"75424509","泰成粉廠股份有限公司","高雄市燕巢區橫山路75號","196818340","0471226","高雄市燕巢區橫山里橫山路７５號１樓","086213,087000,,","02-AUG-20","","","","麥倉,牡丹,金,LEAF,葉,虎,","2019-11-22"
"75459703","信榮工業原料有限公司","高雄市新興區南台路71之3號","0","0650913","高雄市新興區明莊里南台路７１－３號","454999,462017,472999,089999","02-AUG-20","","","","HSIN EING,信榮,LIHPUTAY-T  T,KAMENTEON,新佳美凍,利浦泰,","2019-11-22"
"75471349","開發木業股份有限公司","高雄市左營區重化街1號12樓","24000000","0580527","高雄市左營區菜公里重化街１號１２樓","461111,461516,456316,461400","02-AUG-20","","","","",""
"75472086","高豐五金機械股份有限公司","高雄市仁武區工業一路7號","28000000","0570708","高雄市仁武區仁武里工業一路７號","293311,293200,293313,","02-AUG-20","","","","ANN GIN,安井,","2019-11-22"
"75481000","祥成行股份有限公司","高雄市三民區九如一路133號","85800000","0550716","高雄市三民區九如一路１３３號","482911,,,","02-AUG-20","","","","",""
"75513214","惠發企業股份有限公司","高雄市大寮區潮寮里華東路26號","24000000","0600515","高雄市大寮區潮寮里華東路２６號","530100,,,","02-AUG-20","","","","",""
"75514966","進昇工程股份有限公司","高雄市三民區大順三路316巷4弄6號","12000000","0610318","高雄市三民區大順三路３１６巷４弄６號","433112,422015,422013,","02-AUG-20","","","","",""
"75525106","隆成發鐵工廠股份有限公司","高雄市前鎮區鎮港路7號","495000000","0521229","高雄市前鎮區興化里鎮港路７號","340099,241312,,","02-AUG-20","","","","",""
"75574416","順豐化學企業有限公司","高雄市三民區美都路300巷44號","0","0561129","高雄市三民區德西里美都路３００巷４４號","184111,,,","02-AUG-20","","","","李氏順豐,","2019-11-22"
"75577671","新泰興橡膠工業股份有限公司","高雄市小港區長泰街14號","15000000","0570618","高雄市小港區山明里長泰街１４號１樓","210200,210999,,","02-AUG-20","","","","HTS ELASTOMER,","2019-11-22"
"75584836","隆興鋼鐵工業股份有限公司","高雄市路竹區中華路530號","29000000","0600101","高雄市路竹區文南里中華路５３０號","253912,461915,462012,461516","02-AUG-20","","","","",""
"75652307","新臺灣久保田股份有限公司","高雄市大寮區江山里鳳屏二路16號","101750000","0551219","高雄市大寮區江山里鳳屏二路１６號","292111,451099,,","02-AUG-20","","","","",""
"75660708","瑞興發工業股份有限公司","高雄市左營區民族一路960巷1號","214000000","0540326","高雄市左營區菜公里民族一路９６０巷１號","251299,272999,269999,293600","02-AUG-20","","","","JHH JUEI HSING HWA,瑞興發,","2019-11-22"
"75665605","新豐實業廠股份有限公司","高雄市三民區九如一路131號","2800000","0450317","高雄市三民區寶民里九如一路１３１號","463113,463114,,","02-AUG-20","","","","",""
"75669736","臺陽塗料建材股份有限公司","高雄市仁武區水管路85號","60000000","0581113","高雄市仁武區竹後里水管路８５號","192011,461515,434012,","02-AUG-20","","","","TAI YANG, TPC,DYUFNAR,麗氟耐,臺陽,","2019-11-22"
"75669974","台灣維生食品股份有限公司","高雄市三民區民族一路2巷60號","12000000","0551231","高雄市三民區博惠里民族一路２巷６０號","089312,089399,089311,","02-AUG-20","","","","CUBE SUGAR,鞠子小方糖,TAIWAN WEI SUN,TWS,","2019-11-22"
"75688001","嘉泰工業股份有限公司","高雄市前鎮區新生路5巷11號1樓","6200000","0551130","高雄市前鎮區鎮北里新生路５巷１１號１樓","251299,,,","02-AUG-20","","","","",""
"75710170","德昌印刷廠股份有限公司","高雄市三民區大昌一路345號","12000000","0580211","高雄市三民區大昌一路３４５號","160100,,,","02-AUG-20","","","","",""
"75759309","聯合木業股份有限公司","高雄市前金區大同二路145號10樓之7","120000000","0511126","高雄市前金區國民里大同二路１４５號１０樓之７","140200,681112,,","02-AUG-20","","","","",""
"75902781","郁豐營造有限公司","高雄市三民區哈爾濱街95號","0","0650521","高雄市三民區哈爾濱街９５號","429099,461999,,","02-AUG-20","","","","",""
