"統一編號","公司名稱","公司地址","實收資本額","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"22977812","欣光食品股份有限公司","桃園市中壢區忠義里南園路2之20號3樓 ","80067000","0770726","桃園市中壢區忠義里南園路２─２０號３樓","081216,454400,454912,","02-AUG-20","","","","YUMMY DOTS,中一,ORIENTAL BEST,享點子,","2019-11-22"
"22980099","台灣蔻思邁爾股份有限公司","桃園市龜山區公西里文興路146號9樓之1號","10000000","0770729","桃園市龜山區文化里文興路１４６號９樓之３","457299,454999,456799,451099","02-AUG-20","","","","COSMILE,CS,悅姿康,蔻思邁爾,REXCON,","2019-11-22"
"22982126","鼎運電子企業有限公司","桃園市八德區寶豐街15巷2弄17號　","null","0770802","桃園市八德區茄苳里９鄰寶豐街１５巷２弄１７號","261199,273099,272112,","02-AUG-20","","","","",""
"22985171","益萊工業股份有限公司","桃園市蘆竹區新興里新興街127號","350000000","0770805","桃園市蘆竹區新興里１２鄰新興街１２７號","302012,303011,530100,529099","02-AUG-20","","","","T.S.G.,ENGINE ERISTIC,A ERISTIC,CAHO,益萊,ERISTIC,A,CADA,TOP ENGINE GASKET,TAYEN,URO-GK,KC,","2019-11-22"
"22989269","敬茂電子股份有限公司","桃園市八德區永豐里永豐路416巷7號","20000000","0770812","桃園市八德區永豐里０１７鄰永豐路４１６巷７號","263000,469999,,","02-AUG-20","","","","",""
"22991011","亞青電氣有限公司","桃園市龜山區大華里頂湖一街8巷8號","0","0770816","桃園市龜山區大華里頂湖一街８巷８號","281099,293700,462099,711299","02-AUG-20","","","","",""
"22992588","紘志實業有限公司","桃園市中壢區龍興里龍岡路2段383巷25號","0","0770826","桃園市中壢區龍興里龍岡路２段３８３巷２５號","160100,740912,469999,740999","02-AUG-20","","","","",""
"22994919","易發精機股份有限公司","桃園市中壢區自強四路3之2號2樓","425370000","0770822","桃園市中壢區復華里自強四路３－２號２樓","292999,293600,272999,","02-AUG-20","6425","電機機械","2020-08-26 00:00:00.0","EFC,","2019-11-22"
"22995234","木子股份有限公司","桃園市中壢區福德里大華路57號","280800000","0770823","桃園市中壢區福德里大華路５７號","464211,464111,,","02-AUG-20","","","","MSL,NOPEUS PRO,","2019-11-22"
"22995403","新公鋼鐵有限公司","桃園市大溪區南興里員東路286號1樓","null","0770823","桃園市大溪區南興里０２０鄰員東路２８６號１樓","469199,383099,381111,382111","02-AUG-20","","","","",""
"22996515","赤陽工業有限公司","桃園市中壢區後寮里中山東路二段526巷13、15號","0","0770823","桃園市中壢區後寮里４鄰中山東路２段５２６巷１３號","220300,,,","02-AUG-20","","","","CY,赤陽,","2019-11-22"
"22998485","東遠精技工業股份有限公司","桃園市龜山區華亞二路58、58之1、58之2號","95000000","0770826","桃園市龜山區文化里華亞二路５８、５８之１、５８之２號","292912,,,","02-AUG-20","","","","東遠精技,ATMA,SPS,","2019-11-22"
"22999061","廣霖國際門窗科技有限公司","桃園市龜山區東萬壽路311巷6號.8號","0","0770829","桃園市龜山區嶺頂里東萬壽路３１１巷６號．８號","252100,434013,461516,","02-AUG-20","","","","A LANTA,","2019-11-22"
"22999647","立榮電子企業股份有限公司","桃園市龜山區萬壽路一段486號","60000000","0770830","桃園市龜山區龍華里萬壽路一段４８６號","269913,261212,,","02-AUG-20","","","","LIH RONG,立榮,","2019-11-22"
"23002584","鴻元電子股份有限公司","桃園市龜山區南上里民生北路一段40之2號3樓之1","30000000","0770902","桃園市龜山區南上里民生北路１段４０之２號３樓之１","269999,,,","02-AUG-20","","","","",""
"23006081","立軒電子股份有限公司","桃園市中壢區合定路25之1號","60000000","0770908","桃園市中壢區內定里合定路２５之１號","464211,269999,,","02-AUG-20","","","","",""
"23006385","技佳實業股份有限公司","桃園市楊梅區水美里梅高路92號","5000000","0770908","桃園市楊梅區水美里梅高路９２號１樓","464999,461517,249999,251299","02-AUG-20","","","","",""
"23008314","巨讚實業有限公司","桃園市新屋區社子里東福路566號","0","0770910","桃園市新屋區社子里００４鄰東福路５６６號","461214,060099,771100,","02-AUG-20","","","","",""
"23009186","祐實科技國際股份有限公司","桃園市平鎮區平南里13鄰天津街227號","22000000","0770913","桃園市平鎮區平南里天津街２２７號１樓","464211,457212,475212,","02-AUG-20","","","","",""
