"統一編號","公司名稱","公司地址","實收資本額","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"24851769","迦全有限公司","臺東縣臺東市仁愛里寶桑路248巷11號1樓","null","1031211","臺東縣臺東市仁愛里寶桑路２４８巷１１號１樓","782000,812100,390099,771999","02-AUG-20","","","","",""
"24853416","初鹿牧野牧場股份有限公司","臺東縣卑南鄉初鹿村8鄰忠孝路115號1樓","5000000","1031216","臺東縣卑南鄉初鹿村００８鄰忠孝路１１５號１樓","472931,454513,,","02-AUG-20","","","","",""
"24858670","綺麗洗衣工廠有限公司","臺東縣臺東市豐樂里大忠路24號1樓","0","1040105","臺東縣臺東市豐樂里大忠路２４號１樓","961011,812999,,","02-AUG-20","","","","",""
"24860296","上鴻土木包工業有限公司","臺東縣卑南鄉賓朗村賓朗路426號1樓","null","1040109","臺東縣卑南鄉賓朗村０１６鄰賓朗路４２６號１樓","429099,439014,410099,812914","02-AUG-20","","","","",""
"24861653","立風航太工業有限公司","花蓮縣吉安鄉慶豐村43鄰慶北三街667號1樓","0","1040114","花蓮縣吉安鄉慶豐村４３鄰慶北三街６６７號１樓","959999,485299,464999,319014","02-AUG-20","","","","",""
"24869613","歐利科技有限公司","花蓮縣吉安鄉北昌村22鄰建昌路32巷6號1樓","0","1040209","花蓮縣吉安鄉北昌村０２２鄰建昌路３２巷６號１樓","464999,271100,464320,","02-AUG-20","","","","",""
"24873779","啟陞建設有限公司","花蓮縣花蓮市民樂里中興路27號1樓","0","1040302","花蓮縣花蓮市民樂里０１０鄰中興路２７號１樓","670012,461211,,","02-AUG-20","","","","",""
"24875039","晟盛營造有限公司","臺東縣臺東市豐年里中興路2段743巷67弄8之1號1樓","0","1040306","臺東縣臺東市豐年里中興路２段７４３巷６７弄８─１號１樓","439099,429011,340099,433900","02-AUG-20","","","","",""
"24881829","劼宸工程有限公司","臺東縣臺東市建農里知本路一段891巷128號1樓","0","1040327","臺東縣臺東市建農里知本路１段８９１巷１２８號","241313,241213,254999,670012","02-AUG-20","","","","",""
"24882643","辰堡建設有限公司","臺東縣臺東市永樂里山西路1段235巷12號1樓","0","1040330","臺東縣臺東市永樂里山西路１段２３５巷１２號１樓","670012,434011,681111,681112","02-AUG-20","","","","",""
"24882910","保翔國際整合行銷有限公司","臺東縣長濱鄉長濱村長濱路208之4號1樓","0","1040331","臺東縣長濱鄉長濱村長濱路２０８─４號１樓","461515,452000,461512,471999","02-AUG-20","","","","",""
"24884683","九鳥創意產業有限公司","臺東縣卑南鄉初鹿村新班鳩路42號1樓","0","1040407","臺東縣卑南鄉初鹿村新班鳩路４２號１樓","903015,969099,820912,740914","02-AUG-20","","","","",""
