"統一編號","公司名稱","公司地址","實收資本額","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"70637145","金龍發有限公司","澎湖縣馬公市烏崁里301號","null","0881006","澎湖縣馬公市烏崁里３０１號","482912,352000,463112,293311","02-AUG-20","","","","",""
"70638144","慶駿電機有限公司","嘉義縣太保市南新里北港路2段105巷18弄7號","null","0881008","嘉義縣太保市南新里１５鄰北港路２段１０５巷１８弄７號","464211,,,","02-AUG-20","","","","C J,慶駿,FRUTAS KINGS,","2019-11-22"
"70638469","郁洲瀝青工業有限公司","澎湖縣馬公市民權路32號1樓","0","0881008","澎湖縣馬公市?明里民權路３２號１樓","170011,170099,060099,381111","02-AUG-20","","","","",""
"70639684","百吉環境工程有限公司","嘉義市西區東店里14鄰蘭州五街47號","0","0881012","嘉義市西　區車店里蘭州五街４７號","461211,410015,231200,","02-AUG-20","","","","",""
"70641674","保億冷凍食品有限公司","屏東縣九如鄉玉泉村黃金路51號","null","0881014","屏東縣九如鄉玉泉村黃金路５１號","472211,454211,454113,081111","02-AUG-20","","","","PAO YI,保億冷凍食品,P.I,","2019-11-22"
"70642219","超羣鋼鐵有限公司","嘉義市西區長安街1巷14號2樓","0","0881015","嘉義市西　區北榮里長安街１巷１４號２樓","461516,461599,,","02-AUG-20","","","","",""
"70646123","五鐿機械有限公司","嘉義縣大林鎮大美里互助社區8號","0","0881021","嘉義縣大林鎮大美里互助社區８號１樓","464319,464999,293999,","02-AUG-20","","","","",""
"70647137","冠群精密股份有限公司","嘉義市西區保安里安東三街17號","1050000","0881025","嘉義市西　區保生里安東三街１７號１樓","251299,461516,464999,","02-AUG-20","","","","",""
"70650688","名立實業有限公司","屏東縣萬丹鄉香社村巖仔路328號","null","0881029","屏東縣萬丹鄉香社村巖仔路３２８號","233200,421000,461211,382111","02-AUG-20","","","","",""
"70652454","恆春海洋養殖股份有限公司","屏東縣東港鎮延平路132號","88000000","0881101","屏東縣東港鎮朝安里７鄰延平路１３２號","032112,932999,454921,439099","02-AUG-20","","","","恆春海洋養殖,PAMPANO,恆春海洋養殖全程台灣生產,EVER SPRING,恆春海洋開發,海金鯧,","2019-11-22"
"70654256","佳味香食品企業有限公司","屏東縣新園鄉新園村媽祖路396號","null","0881104","屏東縣新園鄉新園村媽祖路３９６號１樓","081216,454400,454211,081213","02-AUG-20","","","","H,佳味香,","2019-11-22"
"70659689","大聚便當有限公司","屏東縣內埔鄉豐田村興中二巷26號","0","0881115","屏東縣內埔鄉豐田村２３鄰興中二巷２６號","562012,,,","02-AUG-20","","","","",""
"70665394","再興窯業股份有限公司","嘉義縣民雄鄉豐收村好收72之3號","10000000","0881124","嘉義縣民雄鄉豐收村好收７２之３號","232999,232100,060099,","02-AUG-20","","","","",""
"70669005","政魁國際股份有限公司","屏東縣恆春鎮仁壽里省北路二段531巷122號","22000000","0881130","屏東縣恆春鎮仁壽里省北路二段５３１巷１２２號","464920,011999,,","02-AUG-20","","","","PARK,O-TECH,號公園,RICHLAMP,","2019-11-22"
"70671065","源鴻億食品有限公司","屏東縣里港鄉中和村中和路3-25號1樓","0","0881203","屏東縣里港鄉中和村７鄰中和路３－２５號","089799,454400,472999,","02-AUG-20","","","","源鴻億,YHY,湧源,","2019-11-22"
"70671494","介旺有限公司","屏東縣內埔鄉黎明村信義路1200巷50號","0","0881218","屏東縣內埔鄉黎明村信義路１２００巷５０號","382111,351000,183099,013012","02-AUG-20","","","","",""
"70673280","佳洪股份有限公司","屏東縣屏東市屏東加工出口區經建路15號","201800000","0881213","屏東縣屏東市前進里經建路１５號","285913,,,","02-AUG-20","","","","佳津,AQUA FLOW,PUREIGN,AQUA FLOW QQ,淳鋭,QIAN JIASHUI,艾芙樂,AQUA-FLOW,JH,","2019-11-22"
"70676075","嘉良特化股份有限公司","嘉義縣太保市過溝里嘉太工業區興業路8號","80000000","0881216","嘉義縣太保市過溝里嘉太工業區興業路８號","462099,,,","02-AUG-20","","","","THERM TEMPERATURE REGULATION TECHNOLOGY,AGUARD,EASYCARE,禦菌氏,BIOCOOL,AEGIS MICROBE SHIELD KEEP IT FRESH,CAREFREE,AEGIS MICROBE SHIELD AEGIS AEM,NANOPROOF,MICROBE SHIEID EGIS,NAM LIONG MAKE YOUR LIFE BETTER,AEGIS MICROBE SHIELD,COOLMATE,GOODY,PROTECTED BY THE ODORBAN FRESH,GREENAEGIS,綠奇蹟,GREENRAYS,AEGIS ECOFRESH,DRYMATE,AEGIS,綠光芒,BIOTEX,ODORBAN,","2019-11-22"
"70679398","合禹車體興業有限公司","屏東縣屏東市光復路219號","0","0881222","屏東縣屏東市長安里光復路２１９號","302012,303099,484311,","02-AUG-20","","","","",""
"70679806","歐比特科技有限公司","嘉義縣太保市南新里中正路15號","0","0881222","嘉義縣太保市南新里１鄰中正路１５號","456511,275200,464922,959915","02-AUG-20","","","","",""
"70687643","鈞城企業有限公司","屏東縣新園鄉五房村五房路244巷19-3號","0","0890105","屏東縣新園鄉五房村五房路２４４巷１９－３號","469199,464211,,","02-AUG-20","","","","",""
"70688397","東興肥料有限公司","嘉義縣東石鄉東崙村栗子崙35-8號","null","0890106","嘉義縣東石鄉東崙村栗子崙３５－８號","220999,183011,,","02-AUG-20","","","","",""
"70689472","詠誠企業有限公司","嘉義縣朴子市大鄉里大槺榔359號1樓","0","0890110","嘉義縣朴子市大鄉里大?榔３５９號１樓","469914,152099,,","02-AUG-20","","","","",""
"70691457","鉦富塑膠實業股份有限公司","嘉義縣中埔鄉隆興村廍後8之1號","3600000","0890113","嘉義縣中埔鄉隆興村２鄰??後８－１號","429099,220111,462012,","02-AUG-20","","","","",""
"70694264","惠茂工業股份有限公司","嘉義縣大林鎮明華里明華路177-8號1樓","2000000","0890119","嘉義縣大林鎮明華里０１９鄰明華路１７７─８號１樓","462012,,,","02-AUG-20","","","","",""
"70694670","豔羽國際貿易有限公司","嘉義縣布袋鎮東港里埔仔厝241號","null","0890119","嘉義縣布袋鎮東港里２３鄰埔仔厝２４１號","457299,457211,464912,193099","02-AUG-20","","","","PROFESSIONAL HAIR SALON PRODUCTS,KDS A KEY FOR DREAMY STYLE KDS,髮物語,TWO CHERRIES,TC,","2019-11-22"
"70696740","津豪食品科技股份有限公司","嘉義縣民雄鄉福權村下寮2之3號","5000000","0890124","嘉義縣民雄鄉福權村９鄰下寮２－３號","454400,089714,,","02-AUG-20","","","","KING HOUSE,津豪,","2019-11-22"
